X,Y,OBJECTID,STD_ZIP5,USPS_ZIP_PREF_CITY_1221,USPS_ZIP_PREF_STATE_1221,LATITUDE,LONGITUDE,LAT,LGT
-66.6204,18.0244,70,732,PONCE,PR,18.0244,-66.6204,18.0244,-66.6204
-66.614179,18.016422,71,733,PONCE,PR,18.016422,-66.614179,18.016422,-66.614179
-65.64947612,18.26612834,72,735,CEIBA,PR,18.26612834,-65.64947612,18.26612834,-65.64947612
-66.14772902,18.11854589,73,736,CAYEY,PR,18.11854589,-66.14772902,18.11854589,-66.14772902
-66.1625,18.1088,74,737,CAYEY,PR,18.1088,-66.1625,18.1088,-66.1625
-65.65436562,18.33201846,75,738,FAJARDO,PR,18.33201846,-65.65436562,18.33201846,-65.65436562
-66.146179,18.17188121,76,739,CIDRA,PR,18.17188121,-66.146179,18.17188121,-66.146179
-65.63636789,18.32966073,77,740,PUERTO REAL,PR,18.32966073,-65.63636789,18.32966073,-65.63636789
-65.75602276,18.16164081,78,741,PUNTA SANTIAGO,PR,18.16164081,-65.75602276,18.16164081,-65.75602276
-65.7866,18.2095,79,744,RIO BLANCO,PR,18.2095,-65.7866,18.2095,-65.7866
-65.82892334,18.37715817,80,745,RIO GRANDE,PR,18.37715817,-65.82892334,18.37715817,-65.82892334
-66.28034143,17.9786383,81,751,SALINAS,PR,17.9786383,-66.28034143,17.9786383,-66.28034143
-65.96986834,18.19095428,82,754,SAN LORENZO,PR,18.19095428,-65.96986834,18.19095428,-65.96986834
-66.39327769,17.96986181,83,757,SANTA ISABEL,PR,17.96986181,-66.3932777,17.96986181,-66.3932777
-65.4461207,18.14561211,84,765,VIEQUES,PR,18.14561211,-65.4461207,18.14561211,-65.4461207
-66.49602087,18.12827088,85,766,VILLALBA,PR,18.12827088,-66.49602087,18.12827088,-66.49602087
-65.86692856,18.05960335,86,767,YABUCOA,PR,18.05960335,-65.86692856,18.05960335,-65.86692856
-66.36712927,18.0737807,87,769,COAMO,PR,18.0737807,-66.36712927,18.0737807,-66.36712927
-65.8770847,18.18890073,88,771,LAS PIEDRAS,PR,18.18890073,-65.8770847,18.18890073,-65.8770847
-65.86907841,18.43207521,89,772,LOIZA,PR,18.43207521,-65.86907841,18.43207521,-65.86907841
-65.71805028,18.37304926,90,773,LUQUILLO,PR,18.37304926,-65.71805028,18.37304926,-65.71805028
-65.92134874,18.22850062,91,777,JUNCOS,PR,18.22850062,-65.92134874,18.22850062,-65.92134874
-65.97675054,18.25061458,92,778,GURABO,PR,18.25061458,-65.97675054,18.25061458,-65.97675054
-66.55353933,18.05096392,93,780,COTO LAUREL,PR,18.05096392,-66.55353933,18.05096392,-66.55353933
-66.2270713,18.22139991,94,782,COMERIO,PR,18.22139991,-66.2270713,18.22139991,-66.2270713
-66.31985061,18.3389527,95,783,COROZAL,PR,18.3389527,-66.31985061,18.3389527,-66.31985061
-66.11571353,17.98090563,96,784,GUAYAMA,PR,17.98090563,-66.11571354,17.98090563,-66.11571354
-66.1103,17.9848,97,785,GUAYAMA,PR,17.9848,-66.1103,17.9848,-66.1103
-65.82538828,18.12821995,98,791,HUMACAO,PR,18.12821995,-65.82538828,18.12821995,-65.82538828
-65.822041,18.150243,99,792,HUMACAO,PR,18.150243,-65.822041,18.150243,-65.822041
-66.31188275,18.18741798,100,794,BARRANQUITAS,PR,18.18741798,-66.31188275,18.18741798,-66.31188275
-66.50821587,18.03806801,101,795,JUANA DIAZ,PR,18.03806801,-66.50821587,18.03806801,-66.50821587
-64.9133,18.3388,102,801,ST THOMAS,VI,18.3388,-64.9133,18.3388,-64.9133
-64.91065676,18.33857517,103,802,ST THOMAS,VI,18.33857517,-64.91065676,18.33857517,-64.91065676
-64.9133,18.3388,104,803,ST THOMAS,VI,18.3388,-64.9133,18.3388,-64.9133
-64.9133,18.3388,105,804,ST THOMAS,VI,18.3388,-64.9133,18.3388,-64.9133
-64.71355007,17.74348794,106,820,CHRISTIANSTED,VI,17.74348794,-64.71355007,17.74348794,-64.71355007
-64.7506,18.3356,107,830,ST JOHN,VI,18.3356,-64.7506,18.3356,-64.7506
-64.7783,18.3169,108,831,ST JOHN,VI,18.3169,-64.7783,18.3169,-64.7783
-64.84536459,17.71478771,109,840,FREDERIKSTED,VI,17.71478771,-64.84536459,17.71478771,-64.84536459
-64.79623811,17.72862214,110,850,KINGSHILL,VI,17.72862214,-64.79623812,17.72862214,-64.79623812
-66.10703941,18.46478722,111,901,SAN JUAN,PR,18.46478722,-66.10703941,18.46478722,-66.10703941
-66.112205,18.464976,112,902,SAN JUAN,PR,18.464976,-66.112205,18.464976,-66.112205
-66.07531689,18.45325899,113,907,SAN JUAN,PR,18.45325899,-66.07531689,18.45325899,-66.07531689
-66.082523,18.455494,114,908,SAN JUAN,PR,18.455494,-66.082523,18.455494,-66.082523
-66.06834609,18.44301253,115,909,SAN JUAN,PR,18.44301253,-66.06834609,18.44301253,-66.06834609
-66.069513,18.444244,116,910,SAN JUAN,PR,18.444244,-66.069513,18.444244,-66.069513
-66.05961769,18.44828451,117,911,SAN JUAN,PR,18.44828451,-66.05961769,18.44828451,-66.05961769
-66.06013037,18.44544103,118,912,SAN JUAN,PR,18.44544103,-66.06013037,18.44544103,-66.06013037
-66.04324278,18.45114464,119,913,SAN JUAN,PR,18.45114464,-66.04324278,18.45114464,-66.04324278
